Column1,First_name,Last_name,Date_of_Birth,Email_ID,Department,Job_Type
0,John,Doe,1/15/1990,john.doe@example.com,Engineering,Full-Time
1,Jane,Smith,3/22/1992,jane.smith@company.com,Marketing,PartTime
2,Michael,Jordan,7/30/1985,michael.jordan@basketball.org,Sales,Contract
3,Emily,Brown,11/10/1988,emily.brown@example.co.uk,Human Resources,Full-Time
4,Robert,Taylor,5/17/1995,robert.taylor@example.net,Information Technology,Part-Time
5,Sophia,Walker,9/12/1993,sophia.walker@fashion.com,Design,Full-Time
6,Chris,Evans,6/13/1982,chris.evans@movies.com,Production,Freelance
7,Emma,Watson,4/15/1990,emma.watson@hogwarts.edu,Education,Intern
8,Daniel,Craig,3/2/1968,daniel.craig@007.com,Security,Contract
9,Olivia,Johnson,8/25/1991,olivia.johnson@example.org,Operations,Ful-Time
