Name,Date_of_Birth_EmailID,Job_Type,Department
John@Doe,1990-01-15john.doe@example.com,Full$-Time,Enginee@ring
Jane$Smith,jane.smith@company.com1992-03-22,Part!Time,Market#ing
Michael&Jordan,1985-07-30michael.jordan@basketball.org,Con%tract,Sa$les
Emily!Brown,emily.brown@example.co.uk1988-11-10,Ful^l-Time,Human Reso@urces
Robert#Taylor,1995-05-17robert.taylor@example.net,Par^t-Time,Inform@ation Technolo%gy
Sophia$Walker,1993-09-12sophia.walker@fashion.com,Full-T^ime,De%sign
Chris!Evans,chris.evans@movies.com1982-06-13,Fre$elance,Produc!tion
Emma@Watson,1990-04-15emma.watson@hogwarts.edu,Inter^n,Educa@tion
Daniel#Craig,daniel.craig@007.com1968-03-02,Con!tract,Secur#ity
Olivia%Johnson,olivia.johnson@example.org1991-08-25,Ful$-Time,Opera#tions
